name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
Andermatt Golf;+41 41 874 88 88;;https://www.andermatt-swissalps.ch/de/ski-golf/golf.html;404;;Andermatt;;18-Loch-Anlage;46.62978,8.57672
Buna Vista Golf Sagogn;+41 81 921 34 64;info@bunavistagolf.ch;https://www.bunavista.ch/;200;7152;Sagogn;Via vitg dadens 71;Golf + Ski;46.78655,9.24555
Bürgenstock Golf Course;+41 41 610 24 34;info@golfclub-buergenstock.ch;https://www.golfclub-buergenstock.ch/;200;6362;Stansstad;;Golfplatz;46.99613,8.39594
Dolder Golfclub Zürich;+41 44 254 50 10;info@doldergolf.ch;https://www.doldergolf.ch;200;8032;Zürich;Kurhausstrasse 66;Golfplatz;47.37059,8.57269
Golf & Country Club Blumisberg;+41 26 496 34 38;secretariat@blumisberg.ch;http://www.golf-blumisberg.ch/;000;3184;Wünnewil-Flamatt;;Golfplatz;46.87159,7.29126
Golf & Country Club Hittnau;+41 44 950 24 42;info@gcch.ch;https://www.gcch.ch/;200;8335;Hittnau;;Golfplatz;47.35887,8.84408
Golf & Country Club Schönenberg;+41 44 788 90 40;info@golf-schoenenberg.ch;https://www.golf-schoenenberg.ch/;200;8824;Schönenberg (ZH);;Golfplatz;47.20566,8.62927
Golf & Country Club Zürich Zumikon;+41 43 288 10 88;gccz.zumikon@ggaweb.ch;http://www.gccz.zumikon.ch/;000;8126;Zumikon;Weid 9;Golfplatz;47.33983,8.62389
Golf & Country Club de Neuchâtel;+41 32 753 55 50;secretariat@golfdeneuchatel.ch;https://www.golfdeneuchatel.ch/;200;2072;Saint-Blaise;Voëns 13;Golfplatz;47.03403,6.99398
Golf Academy Hotel Margna;+41 81 838 47 47;info@margna.ch;https://www.margna.ch/margna-golf-sport/margna-golf-academy/;404;;Sils im Engadin;;Golf-Academy;46.43426,9.75914
Golf Augwil;+41 44 800 70 60;;https://www.golfaugwil.ch/;200;8426;Lufingen;Augwilerstrasse 101;Golfplatz;47.47321,8.60295
Golf Club Aaretal;+41 31 782 00 00;info@golfaaretal.ch;https://www.golfaaretal.ch/;200;3629;Kiesen;Professoreistrasse 36;Golfplatz;46.81253,7.58076
Golf Club Alvaneu Bad;+41 81 404 10 07;info@golf-alvaneu.ch;https://golf-alvaneu.ch;000;;Alvaneu Bad;;Golfplatz;46.66924,9.65482
Golf Club Arosa;;;https://www.golfarosa.ch/;200;;Arosa;;Golfplatz;46.79189,9.68370
Golf Club Axenstein;+41 41 825 41 00;;https://golfclub-axenstein.ch/;200;6443;Morschach;Axenstein 11;Golfplatz;46.98828,8.62066
Golf Club Bad Ragaz;+41 81 303 37 17;golfclub@resortragaz.ch;https://www.golfclubragaz.ch/;200;7310;Bad Ragaz;Hans-Albrecht-Strasse;Golfplatz;47.00119,9.51099
Golf Club Breitenloo;+41 44 836 40 80;sekretariat@golfbreitenloo.ch;https://www.breitenloo.ch/;200;8309;Oberwil b. Nürensdorf;Golfstrasse 16;Golfplatz;47.46936,8.63301
Golf Club Brigels;+41 81 920 12 12;info@golfidylle.ch;https://www.golfidylle.ch/;200;7165;Breil/Brigels;Tschuppina;Golfplatz;46.76831,9.07866
Golf Club Crans-sur-Sierre;+41 27 485 97 97;info@golfcrans.ch;https://www.golfcrans.ch/;200;3963;Lens;;Golfplatz (Severiano Ballesteros + Jack Nicklaus Course);46.30379,7.46795
Golf Club Davos;+41 81 416 56 34;info@golfdavos.ch;http://www.golfdavos.ch;200;7260;Davos Platz;Mattastrasse 25;Golfplatz;46.79787,9.83836
Golf Club Heidiland;+41 81 303 37 00;gcheidiland@resortragaz.ch;https://www.gcheidiland.ch/;200;7310;Bad Ragaz;Maienfelderstrasse 50;Golfplatz;46.99722,9.51597
Golf Club Les Bois;+41 32 961 10 03;info@golflesbois.ch;https://golflesbois.ch/;200;2336;Les Bois;;Golfplatz;47.16427,6.90020
Golf Club Leuk;+41 27 473 61 61;info@golfleuk.ch;https://golfleuk.ch/;200;3952;Susten;;Golfplatz;46.30148,7.66732
Golf Club Lipperswil;+41 52 724 01 10;;https://golfswitzerland.ch/;200;8564;Lipperswil;Golfpark 1;Golfplatz;47.61627,9.05251
Golf Club Lugano;+41 91 606 15 57;info@golflugano.ch;https://www.golflugano.ch/;200;6983;Magliaso;Via Bött 2;Golfplatz;45.97826,8.88547
Golf Club Matterhorn;+41 27 967 70 00;;https://www.golfclubmatterhorn.ch/;200;3920;Zermatt;;Golfplatz;46.08437,7.77724
Golf Club Montreux;+41 24 466 46 16;secretariat@gcmontreux.ch;https://www.golfmontreux.ch/;200;1860;Aigle;Route d'Evian 54;Golfplatz;46.31914,6.94655
Golf Club Patriziale Ascona;+41 91 785 11 77;;http://www.golfascona.ch/;200;;Ascona;;Golfplatz;46.14965,8.78678
Golf Club Sempachersee;+41 41 462 71 71;info@golf-sempachersee.ch;https://www.golf-sempachersee.ch/;200;6024;Hildisrieden;;Golfplatz;47.15818,8.21258
Golf Club Thunersee;+41 33 334 70 70;info@golfthunersee.ch;https://www.golfthunersee.ch/;200;3608;Thun;Tempelstrasse 20;Golfplatz;46.74789,7.59890
Golf Club Vuissens;+41 24 433 33 00;infos@golfvuissens.ch;https://www.golfvuissens.ch/;200;1486;Vuissens;;Golfplatz;46.73811,6.77321
Golf Club Vulpera;;;https://www.vulperagolf.ch/;200;;Vulpera;;Golfplatz;46.78620,10.27812
