name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
Birkenhof Pferdepension;+41 44 858 28 09;info@birkenhof-pferdepension.ch;https://birkenhof-pferdepension.ch/;200;8164;Bachs;Mufler-Strasse 18;Reiten / Pferdepension;47.52842,8.42247
Cutohof;+41 32 530 10 82;;https://www.cutohof.ch/;000;;Grenchen;;Reiten;47.14482,7.51296
Domaine de Seyve;+41 79 720 32 91;;https://www.domainedeseyve.ch;200;1525;Seigneux;Route de la Pallaz 12;Reiten;46.72644,6.87663
Islandpferdereitschule Klettgaublick;+41 79 617 71 51;;;-;;Wilchingen;;Reitschule (Islandpferde);47.66071,8.48144
Laurence De Rham, école d'équitation;+41 79 763 73 23;info@lderham-equitation.com;https://www.lderham-equitation.com/;404;1242;Satigny;Chemin de Merdisel 34;Reitschule;46.21142,6.03814
Manège de Montreux-Villeneuve;+41 79 384 23 20;;http://manege-montreux-villeneuve.ch/;000;1845;Noville;Chemin Pré des Fourches 1;Reithalle;46.38918,6.92207
Mirjams Pferdeparadies;+41 76 570 15 90;;http://www.mirjams-pferdeparadies.ch;200;;Bern (Umgebung);;Reiten;46.87386,7.40254
Moni und Aldo Straussberg Trekking;+41 71 622 23 93;;;-;8570;Weinfelden;Straussbergstrasse 11;Reit-Trekking;47.57470,9.11849
Pferdehof Rickenbacher;+41 41 780 19 41;spiess@rickyweb.ch;https://freizeitpferde.ch;200;;Rotkreuz;;Reiten / Freizeitpferde;47.18950,8.46085
Pferdepension Staffelegghof AG;+41 62 827 23 77;;http://www.pferdepensionstaffelegghof.com;403;5024;Küttigen;Staffelegghof 874;Pferdepension;47.42867,8.05532
Pferdepension Wydenbuck;+41 52 316 21 36;willkommen@wydenbuck.ch;https://www.wydenbuck.com/;403;;Winterthur (Umgebung);;Pferdepension;47.56835,8.68128
Ponyhof Rüegsbach;+41 34 461 24 87;coer@gmx.ch;https://www.ponyreiten-grubenhof.ch/;000;3418;Rüegsbach;;Ponyreiten;47.04296,7.67853
Ponyranch Brunnacker;+41 31 819 05 50;;;-;3115;Gerzensee;Sädelstrasse 42;Ponyreiten;46.84895,7.52739
Reit- und Pensionsstall Eyzälg;;koeppel.ang@gmail.com;https://www.reitundpensionsstalleyzaelg.ch/;200;;Emmental;;Reiten / Pension;47.06980,7.61888
Reitglück;;info@reitglueck.ch;https://www.reitglueck.ch/;200;8405;Winterthur;Eidbergstrasse 95;Reiten;47.47402,8.79539
Reitschule Voegeli;+41 33 822 74 16;info@reitschulevoegeli.ch;https://www.reitschulevoegeli.ch/;200;3800;Unterseen;Scheidgasse 66;Reitschule;46.68654,7.84573
Reitsportzentrum Bann;+41 79 352 94 52;tp@tinapol.ch;https://www.tinapol.ch/;200;6312;Steinhausen;Bann 19a;Reitsportzentrum;47.20476,8.48525
Reitstall im Dörfli;+41 76 518 95 38;;https://www.reitstall-im-doerfli.ch/;200;8700;Küsnacht;Sonnenrain 59a;Reitstall;47.32703,8.60109
Reitverein Schafmatt;+41 79 614 41 13;;https://www.reitverein-schafmatt.ch/;200;4467;Rothenfluh;Alte Landstrasse;Springen + Dressur + Reiten;47.46566,7.90117
Stall Baffles;+41 79 213 85 07;;https://www.rsza.ch/;200;9450;Altstätten SG;Bafflesstrasse 39;Reitsport;47.38065,9.56582
Stall Weishaupt;+41 79 635 87 66;;https://stallweishaupt.com/;200;9050;Appenzell;Haslenstrasse 37c;Reitstall;47.33894,9.40176
Stall Dulliken;+41 79 400 22 61;;https://www.stall-dulliken.com/;200;;Dulliken;;Reitstall;47.35409,7.95018
Wikinger Ranch;+41 79 341 93 67;;https://wikinger-ranch.ch;200;8919;Rottenschwil;Werd 21;Reiten;47.30234,8.37680
Eissporthalle Bäretswil;+41 44 939 29 31;;;-;8344;Bäretswil;Schürlistrasse 7;Eishockey;47.33285,8.84702
Espace Gruyère;+41 26 919 86 50;;https://www.espace-gruyere.ch/;200;1630;Bulle;Rue de Vevey 136;Eishockey + Eislauf;46.61508,7.04889
Kunsteisbahn Oerlikon;+41 44 413 91 00;;https://www.stadt-zuerich.ch/;200;;Zürich;;Eishockey + Eislauf;47.41184,8.55501
Patinoire de Graben;+41 27 452 02 33;;;-;3960;Sierre;Route des Lacs;Eishockey;46.29415,7.53817
Patinoire de Nyon;+41 79 911 67 79;;https://www.patinoire.ch/;200;1260;Nyon;Rue de Rive;Eishockey + Eislauf;46.38337,6.24449
Patinoire de Plan-les-Ouates;+41 79 108 16 96;sport@plan-les-ouates.ch;;-;1228;Plan-les-Ouates;Route des Chevaliers-de-Malte 11;Eishockey + Eislauf;46.16725,6.12045
Centre Sportif de la Vigne Blanche;+41 22 959 88 20;info@mairie-bellevue.ch;;-;1293;Bellevue;Chemin des Tuileries 148;Eishockey + Mehrsport;46.25644,6.14132
Sportzentrum Prau la Selva;+41 81 920 91 91;info@sportzentrum-flims.ch;https://sportzentrum-flims.ch/;200;7018;Flims Waldhaus;Via Prau la Selva 6;Eishockey + Curling + Fitness + Tennis;46.82387,9.27663
Eiszentrum Luzern;;;http://www.eiszentrum.ch;200;6005;Luzern;Eisfeldstrasse 2;Eishockey + Eislauf;47.04089,8.32137
