name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
A-Club Swimming Team Savosa;;;http://www.a-clubswimmingteam.ch/;200;;Savosa;;Schwimmverein (Wettkampf, Kat. A);
Acquatic Club Ticino;;;http://www.acquatic.ch/;200;;Paradiso;;Schwimmverein (Wettkampf, Kat. A);
Aqua Club Steg-Leukerbad;;;http://www.aquaclub.ch/;200;;Steg;;Schwimmverein (Wettkampf, Kat. A);
Aqualetics (Sundrbi GmbH);;;https://aqualetics.ch/;200;;Küsnacht;;Schwimmschule / Breitensport (Kat. B);
Aquastar Küsnacht / Zollikon;;;https://aquastarwaterpolo.ch;200;;Zürich;;Schwimmverein (Wettkampf, Kat. A) – Wasserball;
Aquatic Masters Team;;;https://www.aquaticmastersteam.ch/;200;;Nebikon;;Schwimmverein (Wettkampf, Kat. A) – Masters;
Aquatics Club XXI La Côte;;;https://aquatics-club.ch/;200;;Nyon;;Schwimmverein (Wettkampf, Kat. A);
Artistic Swimming Bern;;;https://artisticswimmingbern.ch/;200;;Bern;;Schwimmverein (Wettkampf, Kat. A) – Artistic Swimming;
Artistic Swimming Dübendorf;;;https://www.scduebendorf.ch/;200;;Dübendorf;;Schwimmverein (Wettkampf, Kat. A) – Artistic Swimming;
ASPIC Natation;;;https://aspic-natation.ch/;200;;Cossonay-Ville;;Schwimmverein (Wettkampf, Kat. A);
Association cantonale vaudoise Natation;;;http://www.acvn.ch/;200;;Cheseaux-sur-Lausanne;;Kantonalverband;
Association Genevoise de Natation;;;http://agn.ch/;200;;Genève;;Kantonalverband;
Associazione Turrita Nuoto;;;https://www.turritanuoto.ch/;200;;Bellinzona;;Schwimmverein (Wettkampf, Kat. A);
Avully Natation;;;http://www.avullynatation.ch/;200;;Avully;;Schwimmverein (Wettkampf, Kat. A);
Balzner Schwimmclub;;;https://www.bsc.li/;200;;Balzers (FL);;Assoziierter Verein;
Basel Aquatics;;;https://www.svbasel.ch/;200;;Basel;;Schwimmverein (Wettkampf, Kat. A);
Basel Open Water;;;https://www.baselopenwater.ch/;200;;Basel;;Schwimmverein (Wettkampf, Kat. A) – Open Water;
