name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
Accademia Tennis di Rony Staffieri;+41 79 240 03 24;;https://www.instagram.com/ronystaffieri/;429;6968;Sonvico;Stráda dra Vall 3;Tennis;46.05952,8.99455
Blue Point;+41 44 942 12 12;;https://www.bluepoint.ch/;200;8610;Uster;Hallenbadweg 15;Tennis + Badminton + Squash + Tischtennis;47.35850,8.72548
CTT ZZ-Lancy;+41 79 416 53 79;;https://www.zz-lancy.ch/;200;1212;Grand-Lancy;Av. du Curé-Baud 40;Tischtennis;46.17799,6.11691
Center Fontauna;+41 81 947 44 34;info@centerfontauna.ch;http://www.centerfontauna.ch;200;7180;Disentis/Mustér;Via Alpsu 51;Tennis + Fussball + Volleyball + Fitness + Leichtathletik + Basketball;46.69993,8.84506
Centre Sportif Vallée de Joux;;info@centresportif.ch;https://www.centresportif.ch/;200;1347;Le Sentier;Rue du Centre Sportif 1;Tennis + Schwimmen + Eislauf + Fitness + Tanz;46.60373,6.22980
Centre Sportif de Versoix;+41 22 775 66 00;;https://www.versoix.ch/;200;1290;Versoix;Route de l'Etraz 201;Tennis + Fussball + Basketball + Leichtathletik + Volleyball + Schwimmen;46.29630,6.15425
Centre Sportif de la Vigne Blanche;+41 22 959 88 20;info@mairie-bellevue.ch;;-;1293;Bellevue;Chemin des Tuileries 148;Badminton + Basketball + Handball + Volleyball + Tischtennis + Eishockey;46.25644,6.14132
Centre de Tennis AGY;+41 26 466 44 00;tennis.agy@bluewin.ch;http://www.tennisagy.ch;000;1763;Granges-Paccot;Route des Grives 1;Tennis + Badminton;46.81989,7.15143
Centre sportif de la Queue-d'Arve;;;https://www.geneve.ch/centre-sportif-queue-arve;200;;Genève;;Badminton + Klettern + Tischtennis + Fitness + Squash;46.19630,6.13132
Dörfli-Tennis;;;https://www.doerfli-tennis.ch/;000;;Bözberg;;Tennis;47.51879,8.24436
GC Tennis;;;https://www.gc-tennis.ch/;200;;Zürich;;Tennis;47.35691,8.56260
Green Club;;;https://green-club.ch/;200;;Lausanne;;Squash + Tennis + Padel + Fitness;46.55778,6.61679
Lunika Tennis;;;https://www.lunikatennis.ch/;404;;Cossonay;;Tennis + Badminton;46.47463,6.40944
Oro Sport Thalmatt;+41 31 307 33 33;info@thalmattsport.ch;https://thalmattsport.ch/;200;;Herrenschwanden;;Tennis + Squash + Badminton;46.97466,7.41011
Osteria del Tennis;;;https://www.tennismendrisio.ch/;000;6850;Mendrisio;Via Laveggio 12;Tennis + Restaurant;45.88038,8.97947
